ojos,bostezos,tiempo,fatiga
0.35,0,5,10
0.32,0,10,15
0.30,0,15,20
0.28,0,20,25
0.25,0,25,30
0.35,1,5,18
0.32,1,10,22
0.30,1,15,28
0.28,1,20,35
0.25,1,25,40
0.35,2,5,25
0.32,2,10,30
0.30,2,15,38
0.28,2,20,45
0.25,2,25,52
0.35,3,5,32
0.32,3,10,38
0.30,3,15,48
0.28,3,20,55
0.25,3,25,62
0.35,4,5,40
0.32,4,10,45
0.30,4,15,55
0.28,4,20,65
0.25,4,25,72
0.35,5,5,48
0.32,5,10,55
0.30,5,15,65
0.28,5,20,75
0.25,5,25,82
0.30,0,30,35
0.28,0,40,42
0.25,0,50,50
0.22,0,60,58
0.20,0,70,65
0.30,2,30,50
0.28,2,40,58
0.25,2,50,68
0.22,2,60,75
0.20,2,70,82
0.30,4,30,65
0.28,4,40,72
0.25,4,50,82
0.22,4,60,88
0.20,4,70,95
0.18,5,30,85
0.15,5,40,90
0.12,5,50,95
0.10,5,60,98
0.08,5,70,100
0.35,1,30,28
0.32,1,40,32
0.30,1,50,38
0.28,1,60,42
0.25,1,70,48
0.35,3,30,45
0.32,3,40,52
0.30,3,50,60
0.28,3,60,68
0.25,3,70,75
